data;estado;value;treated
2001-01-01;SC;101.95;0
2001-01-01;parana;103.01;0
2001-01-01;RS;102.12;0
2001-01-01;GO;103.87;0
2001-01-01;DF;103.87;0
2001-01-01;BA;100.44;0
2001-01-01;CE;99.58;0
2001-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-01-01;sao_paulo;99.7;0
2001-01-01;minas_gerais;101.45;0
2001-01-01;espirito_santo;103.5;0
2001-01-01;Rio_de_Janeiro;100.47;0
2001-02-01;SC;103.44;0
2001-02-01;parana;106.7;0
2001-02-01;RS;105.92;0
2001-02-01;GO;107.06;0
2001-02-01;DF;107.06;0
2001-02-01;BA;100.16;0
2001-02-01;CE;99.48;0
2001-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-02-01;sao_paulo;100.27;0
2001-02-01;minas_gerais;102.41;0
2001-02-01;espirito_santo;106.28;0
2001-02-01;Rio_de_Janeiro;101.1;0
2001-03-01;SC;102.54;0
2001-03-01;parana;106.96;0
2001-03-01;RS;106.65;0
2001-03-01;GO;108.59;0
2001-03-01;DF;108.59;0
2001-03-01;BA;99.11;0
2001-03-01;CE;99.14;0
2001-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-03-01;sao_paulo;99.7;0
2001-03-01;minas_gerais;101.61;0
2001-03-01;espirito_santo;103.53;0
2001-03-01;Rio_de_Janeiro;100.23;0
2001-04-01;SC;101.25;0
2001-04-01;parana;104.35;0
2001-04-01;RS;107.52;0
2001-04-01;GO;108.54;0
2001-04-01;DF;108.54;0
2001-04-01;BA;98.46;0
2001-04-01;CE;99.4;0
2001-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-04-01;sao_paulo;98.41;0
2001-04-01;minas_gerais;100.26;0
2001-04-01;espirito_santo;102.37;0
2001-04-01;Rio_de_Janeiro;100.24;0
2001-05-01;SC;100.23;0
2001-05-01;parana;102.19;0
2001-05-01;RS;102.37;0
2001-05-01;GO;99.04;0
2001-05-01;DF;99.04;0
2001-05-01;BA;100.11;0
2001-05-01;CE;99.05;0
2001-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-05-01;sao_paulo;97.65;0
2001-05-01;minas_gerais;99.31;0
2001-05-01;espirito_santo;97.79;0
2001-05-01;Rio_de_Janeiro;99.7;0
2001-06-01;SC;100.48;0
2001-06-01;parana;101.5;0
2001-06-01;RS;101.2;0
2001-06-01;GO;99.37;0
2001-06-01;DF;99.37;0
2001-06-01;BA;100.87;0
2001-06-01;CE;100.79;0
2001-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-06-01;sao_paulo;98.39;0
2001-06-01;minas_gerais;98.42;0
2001-06-01;espirito_santo;101.82;0
2001-06-01;Rio_de_Janeiro;99.44;0
2001-07-01;SC;98.15;0
2001-07-01;parana;103.6;0
2001-07-01;RS;97.44;0
2001-07-01;GO;101.51;0
2001-07-01;DF;101.51;0
2001-07-01;BA;95.88;0
2001-07-01;CE;98.89;0
2001-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-07-01;sao_paulo;98.49;0
2001-07-01;minas_gerais;97.69;0
2001-07-01;espirito_santo;103.13;0
2001-07-01;Rio_de_Janeiro;100.21;0
2001-08-01;SC;97.91;0
2001-08-01;parana;105.45;0
2001-08-01;RS;98.9;0
2001-08-01;GO;100.63;0
2001-08-01;DF;100.63;0
2001-08-01;BA;107.27;0
2001-08-01;CE;99.33;0
2001-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-08-01;sao_paulo;98.93;0
2001-08-01;minas_gerais;99.87;0
2001-08-01;espirito_santo;102.82;0
2001-08-01;Rio_de_Janeiro;99.79;0
2001-09-01;SC;100.17;0
2001-09-01;parana;103.57;0
2001-09-01;RS;100.81;0
2001-09-01;GO;101.25;0
2001-09-01;DF;101.25;0
2001-09-01;BA;101.87;0
2001-09-01;CE;99.11;0
2001-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-09-01;sao_paulo;99.23;0
2001-09-01;minas_gerais;101.47;0
2001-09-01;espirito_santo;103.7;0
2001-09-01;Rio_de_Janeiro;99.78;0
2001-10-01;SC;99.99;0
2001-10-01;parana;103.88;0
2001-10-01;RS;102.04;0
2001-10-01;GO;102.69;0
2001-10-01;DF;102.69;0
2001-10-01;BA;104.86;0
2001-10-01;CE;98.36;0
2001-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-10-01;sao_paulo;99.41;0
2001-10-01;minas_gerais;101.78;0
2001-10-01;espirito_santo;101.47;0
2001-10-01;Rio_de_Janeiro;99.95;0
2001-11-01;SC;101.41;0
2001-11-01;parana;104.95;0
2001-11-01;RS;105.12;0
2001-11-01;GO;101.06;0
2001-11-01;DF;101.06;0
2001-11-01;BA;98.07;0
2001-11-01;CE;99.08;0
2001-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-11-01;sao_paulo;100.35;0
2001-11-01;minas_gerais;102.86;0
2001-11-01;espirito_santo;102.74;0
2001-11-01;Rio_de_Janeiro;100.31;0
2001-12-01;SC;102.12;0
2001-12-01;parana;104.02;0
2001-12-01;RS;101.75;0
2001-12-01;GO;100.54;0
2001-12-01;DF;100.54;0
2001-12-01;BA;99.97;0
2001-12-01;CE;99.81;0
2001-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-12-01;sao_paulo;100.85;0
2001-12-01;minas_gerais;104.37;0
2001-12-01;espirito_santo;104.73;0
2001-12-01;Rio_de_Janeiro;99.66;0
2002-01-01;SC;103.42;0
2002-01-01;parana;106.41;0
2002-01-01;RS;104.53;0
2002-01-01;GO;111.01;0
2002-01-01;DF;111.01;0
2002-01-01;BA;102.21;0
2002-01-01;CE;100.64;0
2002-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-01-01;sao_paulo;101.72;0
2002-01-01;minas_gerais;103.46;0
2002-01-01;espirito_santo;104.48;0
2002-01-01;Rio_de_Janeiro;100.58;0
2002-02-01;SC;104.37;0
2002-02-01;parana;108.64;0
2002-02-01;RS;105.29;0
2002-02-01;GO;111.47;0
2002-02-01;DF;111.47;0
2002-02-01;BA;102.97;0
2002-02-01;CE;101.44;0
2002-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-02-01;sao_paulo;102.83;0
2002-02-01;minas_gerais;103.03;0
2002-02-01;espirito_santo;105.49;0
2002-02-01;Rio_de_Janeiro;100.69;0
2002-03-01;SC;104.98;0
2002-03-01;parana;109.92;0
2002-03-01;RS;110.26;0
2002-03-01;GO;112.06;0
2002-03-01;DF;112.06;0
2002-03-01;BA;106.13;0
2002-03-01;CE;102.14;0
2002-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-03-01;sao_paulo;103.64;0
2002-03-01;minas_gerais;104.76;0
2002-03-01;espirito_santo;104.59;0
2002-03-01;Rio_de_Janeiro;100.7;0
2002-04-01;SC;106.34;0
2002-04-01;parana;109.66;0
2002-04-01;RS;108.34;0
2002-04-01;GO;113.63;0
2002-04-01;DF;113.63;0
2002-04-01;BA;111.08;0
2002-04-01;CE;102.48;0
2002-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-04-01;sao_paulo;103.76;0
2002-04-01;minas_gerais;106.51;0
2002-04-01;espirito_santo;108.15;0
2002-04-01;Rio_de_Janeiro;101.19;0
2002-05-01;SC;105.83;0
2002-05-01;parana;106.41;0
2002-05-01;RS;104.08;0
2002-05-01;GO;110.3;0
2002-05-01;DF;110.3;0
2002-05-01;BA;108.76;0
2002-05-01;CE;102.73;0
2002-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-05-01;sao_paulo;104.09;0
2002-05-01;minas_gerais;105.73;0
2002-05-01;espirito_santo;104.9;0
2002-05-01;Rio_de_Janeiro;101.43;0
2002-06-01;SC;106.99;0
2002-06-01;parana;105.45;0
2002-06-01;RS;106.27;0
2002-06-01;GO;110.49;0
2002-06-01;DF;110.49;0
2002-06-01;BA;111.11;0
2002-06-01;CE;103.62;0
2002-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-06-01;sao_paulo;104.74;0
2002-06-01;minas_gerais;105.38;0
2002-06-01;espirito_santo;106.27;0
2002-06-01;Rio_de_Janeiro;102.38;0
2002-07-01;SC;108.41;0
2002-07-01;parana;109.03;0
2002-07-01;RS;106.05;0
2002-07-01;GO;110.61;0
2002-07-01;DF;110.61;0
2002-07-01;BA;108.19;0
2002-07-01;CE;104.8;0
2002-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-07-01;sao_paulo;105.42;0
2002-07-01;minas_gerais;105.84;0
2002-07-01;espirito_santo;106.1;0
2002-07-01;Rio_de_Janeiro;102.58;0
2002-08-01;SC;109.26;0
2002-08-01;parana;112.8;0
2002-08-01;RS;105.13;0
2002-08-01;GO;110.65;0
2002-08-01;DF;110.65;0
2002-08-01;BA;108.88;0
2002-08-01;CE;105.67;0
2002-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-08-01;sao_paulo;106.12;0
2002-08-01;minas_gerais;107.32;0
2002-08-01;espirito_santo;107.23;0
2002-08-01;Rio_de_Janeiro;103.14;0
2002-09-01;SC;109.33;0
2002-09-01;parana;112.08;0
2002-09-01;RS;103.85;0
2002-09-01;GO;113.03;0
2002-09-01;DF;113.03;0
2002-09-01;BA;109.02;0
2002-09-01;CE;107.49;0
2002-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-09-01;sao_paulo;108.22;0
2002-09-01;minas_gerais;107.53;0
2002-09-01;espirito_santo;107.11;0
2002-09-01;Rio_de_Janeiro;103.35;0
2002-10-01;SC;109.17;0
2002-10-01;parana;111.19;0
2002-10-01;RS;107.19;0
2002-10-01;GO;112.39;0
2002-10-01;DF;112.39;0
2002-10-01;BA;108.99;0
2002-10-01;CE;106.98;0
2002-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-10-01;sao_paulo;107.41;0
2002-10-01;minas_gerais;107.7;0
2002-10-01;espirito_santo;108.1;0
2002-10-01;Rio_de_Janeiro;103.95;0
2002-11-01;SC;108.93;0
2002-11-01;parana;111.6;0
2002-11-01;RS;106.8;0
2002-11-01;GO;113.54;0
2002-11-01;DF;113.54;0
2002-11-01;BA;109.04;0
2002-11-01;CE;107.98;0
2002-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-11-01;sao_paulo;107.5;0
2002-11-01;minas_gerais;107.96;0
2002-11-01;espirito_santo;110.35;0
2002-11-01;Rio_de_Janeiro;103.71;0
2002-12-01;SC;109.72;0
2002-12-01;parana;112;0
2002-12-01;RS;106.91;0
2002-12-01;GO;114.55;0
2002-12-01;DF;114.55;0
2002-12-01;BA;109.54;0
2002-12-01;CE;109.2;0
2002-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-12-01;sao_paulo;108.09;0
2002-12-01;minas_gerais;109.06;0
2002-12-01;espirito_santo;111.62;0
2002-12-01;Rio_de_Janeiro;104.7;0
2003-01-01;SC;109.3;0
2003-01-01;parana;111.42;0
2003-01-01;RS;103.97;0
2003-01-01;GO;115.26;0
2003-01-01;DF;115.26;0
2003-01-01;BA;109.42;0
2003-01-01;CE;106.81;0
2003-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-01-01;sao_paulo;108.53;0
2003-01-01;minas_gerais;109.09;0
2003-01-01;espirito_santo;112.28;0
2003-01-01;Rio_de_Janeiro;104.34;0
2003-02-01;SC;108.77;0
2003-02-01;parana;111.89;0
2003-02-01;RS;101.33;0
2003-02-01;GO;119.08;0
2003-02-01;DF;119.08;0
2003-02-01;BA;109.76;0
2003-02-01;CE;107;0
2003-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-02-01;sao_paulo;108.05;0
2003-02-01;minas_gerais;109.37;0
2003-02-01;espirito_santo;111.86;0
2003-02-01;Rio_de_Janeiro;103.77;0
2003-03-01;SC;109.59;0
2003-03-01;parana;113.94;0
2003-03-01;RS;103.52;0
2003-03-01;GO;124.05;0
2003-03-01;DF;124.05;0
2003-03-01;BA;111.51;0
2003-03-01;CE;107.01;0
2003-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-03-01;sao_paulo;108.35;0
2003-03-01;minas_gerais;110.54;0
2003-03-01;espirito_santo;112.31;0
2003-03-01;Rio_de_Janeiro;105.35;0
2003-04-01;SC;109.97;0
2003-04-01;parana;112.96;0
2003-04-01;RS;102.41;0
2003-04-01;GO;123.57;0
2003-04-01;DF;123.57;0
2003-04-01;BA;114.46;0
2003-04-01;CE;107.8;0
2003-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-04-01;sao_paulo;108.62;0
2003-04-01;minas_gerais;110.81;0
2003-04-01;espirito_santo;112.08;0
2003-04-01;Rio_de_Janeiro;105.87;0
2003-05-01;SC;109.95;0
2003-05-01;parana;112.27;0
2003-05-01;RS;104.33;0
2003-05-01;GO;113.6;0
2003-05-01;DF;113.6;0
2003-05-01;BA;112.55;0
2003-05-01;CE;107.75;0
2003-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-05-01;sao_paulo;109.14;0
2003-05-01;minas_gerais;109.68;0
2003-05-01;espirito_santo;110.33;0
2003-05-01;Rio_de_Janeiro;107.31;0
2003-06-01;SC;109.76;0
2003-06-01;parana;111.13;0
2003-06-01;RS;106.31;0
2003-06-01;GO;115.79;0
2003-06-01;DF;115.79;0
2003-06-01;BA;113.97;0
2003-06-01;CE;108.33;0
2003-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-06-01;sao_paulo;109.71;0
2003-06-01;minas_gerais;110.8;0
2003-06-01;espirito_santo;108.73;0
2003-06-01;Rio_de_Janeiro;106.64;0
2003-07-01;SC;108.86;0
2003-07-01;parana;111.05;0
2003-07-01;RS;105.43;0
2003-07-01;GO;114.94;0
2003-07-01;DF;114.94;0
2003-07-01;BA;115.82;0
2003-07-01;CE;109.08;0
2003-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-07-01;sao_paulo;109.22;0
2003-07-01;minas_gerais;110.43;0
2003-07-01;espirito_santo;107.96;0
2003-07-01;Rio_de_Janeiro;106.82;0
2003-08-01;SC;109.08;0
2003-08-01;parana;111.38;0
2003-08-01;RS;106.72;0
2003-08-01;GO;115.09;0
2003-08-01;DF;115.09;0
2003-08-01;BA;116.69;0
2003-08-01;CE;108.98;0
2003-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-08-01;sao_paulo;109.95;0
2003-08-01;minas_gerais;110.15;0
2003-08-01;espirito_santo;110.75;0
2003-08-01;Rio_de_Janeiro;107.42;0
2003-09-01;SC;107.79;0
2003-09-01;parana;112.01;0
2003-09-01;RS;103.86;0
2003-09-01;GO;115.11;0
2003-09-01;DF;115.11;0
2003-09-01;BA;114.45;0
2003-09-01;CE;109.17;0
2003-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-09-01;sao_paulo;109.67;0
2003-09-01;minas_gerais;110.37;0
2003-09-01;espirito_santo;112.95;0
2003-09-01;Rio_de_Janeiro;108.63;0
2003-10-01;SC;110.28;0
2003-10-01;parana;111.63;0
2003-10-01;RS;105;0
2003-10-01;GO;115.08;0
2003-10-01;DF;115.08;0
2003-10-01;BA;113.74;0
2003-10-01;CE;110.41;0
2003-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-10-01;sao_paulo;110.23;0
2003-10-01;minas_gerais;111.06;0
2003-10-01;espirito_santo;114.89;0
2003-10-01;Rio_de_Janeiro;108.42;0
2003-11-01;SC;110.82;0
2003-11-01;parana;110.8;0
2003-11-01;RS;106.15;0
2003-11-01;GO;117.33;0
2003-11-01;DF;117.33;0
2003-11-01;BA;113.32;0
2003-11-01;CE;111.15;0
2003-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-11-01;sao_paulo;111.2;0
2003-11-01;minas_gerais;110.97;0
2003-11-01;espirito_santo;114.38;0
2003-11-01;Rio_de_Janeiro;109.21;0
2003-12-01;SC;110.73;0
2003-12-01;parana;110.85;0
2003-12-01;RS;105.89;0
2003-12-01;GO;119.49;0
2003-12-01;DF;119.49;0
2003-12-01;BA;114.86;0
2003-12-01;CE;111.89;0
2003-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-12-01;sao_paulo;111.89;0
2003-12-01;minas_gerais;111.47;0
2003-12-01;espirito_santo;114.5;0
2003-12-01;Rio_de_Janeiro;109.06;0
2004-01-01;SC;111.69;0
2004-01-01;parana;114.21;0
2004-01-01;RS;107.97;0
2004-01-01;GO;120.46;0
2004-01-01;DF;120.46;0
2004-01-01;BA;116.44;0
2004-01-01;CE;113.23;0
2004-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-01-01;sao_paulo;112.58;0
2004-01-01;minas_gerais;113.51;0
2004-01-01;espirito_santo;117.81;0
2004-01-01;Rio_de_Janeiro;109.95;0
2004-02-01;SC;111.16;0
2004-02-01;parana;112.36;0
2004-02-01;RS;108.81;0
2004-02-01;GO;117.71;0
2004-02-01;DF;117.71;0
2004-02-01;BA;117.79;0
2004-02-01;CE;113.46;0
2004-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-02-01;sao_paulo;112.87;0
2004-02-01;minas_gerais;114.02;0
2004-02-01;espirito_santo;115.79;0
2004-02-01;Rio_de_Janeiro;110.5;0
2004-03-01;SC;110.94;0
2004-03-01;parana;110.52;0
2004-03-01;RS;108.56;0
2004-03-01;GO;117.73;0
2004-03-01;DF;117.73;0
2004-03-01;BA;115.1;0
2004-03-01;CE;115.31;0
2004-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-03-01;sao_paulo;113.54;0
2004-03-01;minas_gerais;113.12;0
2004-03-01;espirito_santo;117.39;0
2004-03-01;Rio_de_Janeiro;109.74;0
2004-04-01;SC;111.49;0
2004-04-01;parana;112.9;0
2004-04-01;RS;108.9;0
2004-04-01;GO;118.54;0
2004-04-01;DF;118.54;0
2004-04-01;BA;114.94;0
2004-04-01;CE;116.11;0
2004-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-04-01;sao_paulo;114.45;0
2004-04-01;minas_gerais;114.16;0
2004-04-01;espirito_santo;118.13;0
2004-04-01;Rio_de_Janeiro;110.68;0
2004-05-01;SC;112.35;0
2004-05-01;parana;115.99;0
2004-05-01;RS;108.48;0
2004-05-01;GO;120.91;0
2004-05-01;DF;120.91;0
2004-05-01;BA;115.95;0
2004-05-01;CE;118.83;0
2004-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-05-01;sao_paulo;114.85;0
2004-05-01;minas_gerais;115.63;0
2004-05-01;espirito_santo;117.15;0
2004-05-01;Rio_de_Janeiro;110.97;0
2004-06-01;SC;111.8;0
2004-06-01;parana;115.4;0
2004-06-01;RS;108.6;0
2004-06-01;GO;119.56;0
2004-06-01;DF;119.56;0
2004-06-01;BA;115.98;0
2004-06-01;CE;118.72;0
2004-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-06-01;sao_paulo;114.2;0
2004-06-01;minas_gerais;115.86;0
2004-06-01;espirito_santo;120.75;0
2004-06-01;Rio_de_Janeiro;108.63;0
2004-07-01;SC;113.92;0
2004-07-01;parana;115.66;0
2004-07-01;RS;109.2;0
2004-07-01;GO;119.04;0
2004-07-01;DF;119.04;0
2004-07-01;BA;116.49;0
2004-07-01;CE;120.42;0
2004-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-07-01;sao_paulo;115.49;0
2004-07-01;minas_gerais;117.73;0
2004-07-01;espirito_santo;120.02;0
2004-07-01;Rio_de_Janeiro;111.41;0
2004-08-01;SC;113.42;0
2004-08-01;parana;115.57;0
2004-08-01;RS;109.27;0
2004-08-01;GO;122.16;0
2004-08-01;DF;122.16;0
2004-08-01;BA;118.64;0
2004-08-01;CE;120.04;0
2004-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-08-01;sao_paulo;115.25;0
2004-08-01;minas_gerais;116.5;0
2004-08-01;espirito_santo;116;0
2004-08-01;Rio_de_Janeiro;111.66;0
2004-09-01;SC;113.39;0
2004-09-01;parana;112.33;0
2004-09-01;RS;110.31;0
2004-09-01;GO;122.3;0
2004-09-01;DF;122.3;0
2004-09-01;BA;118.89;0
2004-09-01;CE;119.29;0
2004-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-09-01;sao_paulo;115.22;0
2004-09-01;minas_gerais;116.91;0
2004-09-01;espirito_santo;120.93;0
2004-09-01;Rio_de_Janeiro;111.59;0
2004-10-01;SC;114.26;0
2004-10-01;parana;116.33;0
2004-10-01;RS;109.86;0
2004-10-01;GO;123.17;0
2004-10-01;DF;123.17;0
2004-10-01;BA;119.47;0
2004-10-01;CE;120.21;0
2004-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-10-01;sao_paulo;116.26;0
2004-10-01;minas_gerais;117.38;0
2004-10-01;espirito_santo;121.81;0
2004-10-01;Rio_de_Janeiro;112.55;0
2004-11-01;SC;114.8;0
2004-11-01;parana;117.85;0
2004-11-01;RS;109.96;0
2004-11-01;GO;125.21;0
2004-11-01;DF;125.21;0
2004-11-01;BA;119.29;0
2004-11-01;CE;118.58;0
2004-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-11-01;sao_paulo;116.7;0
2004-11-01;minas_gerais;118.29;0
2004-11-01;espirito_santo;123.05;0
2004-11-01;Rio_de_Janeiro;112.98;0
2004-12-01;SC;116.22;0
2004-12-01;parana;120.1;0
2004-12-01;RS;112.28;0
2004-12-01;GO;125.93;0
2004-12-01;DF;125.93;0
2004-12-01;BA;119.54;0
2004-12-01;CE;118.53;0
2004-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-12-01;sao_paulo;117.76;0
2004-12-01;minas_gerais;119.23;0
2004-12-01;espirito_santo;123.71;0
2004-12-01;Rio_de_Janeiro;113.83;0
2005-01-01;SC;116.33;0
2005-01-01;parana;120.48;0
2005-01-01;RS;113.61;0
2005-01-01;GO;127.6;0
2005-01-01;DF;127.6;0
2005-01-01;BA;120.76;0
2005-01-01;CE;119.31;0
2005-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-01-01;sao_paulo;118.38;0
2005-01-01;minas_gerais;119.89;0
2005-01-01;espirito_santo;122.55;0
2005-01-01;Rio_de_Janeiro;113.67;0
2005-02-01;SC;119.64;0
2005-02-01;parana;120.11;0
2005-02-01;RS;115.36;0
2005-02-01;GO;119.95;0
2005-02-01;DF;119.95;0
2005-02-01;BA;120.08;0
2005-02-01;CE;120.07;0
2005-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-02-01;sao_paulo;119.57;0
2005-02-01;minas_gerais;120.25;0
2005-02-01;espirito_santo;123.32;0
2005-02-01;Rio_de_Janeiro;113.6;0
2005-03-01;SC;117.04;0
2005-03-01;parana;119.38;0
2005-03-01;RS;112.79;0
2005-03-01;GO;120.97;0
2005-03-01;DF;120.97;0
2005-03-01;BA;117.62;0
2005-03-01;CE;119.51;0
2005-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-03-01;sao_paulo;119.67;0
2005-03-01;minas_gerais;120.41;0
2005-03-01;espirito_santo;123.99;0
2005-03-01;Rio_de_Janeiro;114.67;0
2005-04-01;SC;118.93;0
2005-04-01;parana;122.29;0
2005-04-01;RS;115.09;0
2005-04-01;GO;121.67;0
2005-04-01;DF;121.67;0
2005-04-01;BA;116.62;0
2005-04-01;CE;119.68;0
2005-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-04-01;sao_paulo;121.16;0
2005-04-01;minas_gerais;121.64;0
2005-04-01;espirito_santo;124.76;0
2005-04-01;Rio_de_Janeiro;114.68;0
2005-05-01;SC;119.88;0
2005-05-01;parana;122.72;0
2005-05-01;RS;116.38;0
2005-05-01;GO;127.37;0
2005-05-01;DF;127.37;0
2005-05-01;BA;121.02;0
2005-05-01;CE;119.92;0
2005-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-05-01;sao_paulo;121.98;0
2005-05-01;minas_gerais;122.3;0
2005-05-01;espirito_santo;129.59;0
2005-05-01;Rio_de_Janeiro;114.63;0
2005-06-01;SC;120.67;0
2005-06-01;parana;124.56;0
2005-06-01;RS;116.67;0
2005-06-01;GO;124.67;0
2005-06-01;DF;124.67;0
2005-06-01;BA;122.6;0
2005-06-01;CE;119.69;0
2005-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-06-01;sao_paulo;123.35;0
2005-06-01;minas_gerais;121.57;0
2005-06-01;espirito_santo;127.89;0
2005-06-01;Rio_de_Janeiro;114.65;0
2005-07-01;SC;120.68;0
2005-07-01;parana;124.79;0
2005-07-01;RS;116.86;0
2005-07-01;GO;124.67;0
